id,sensor1_raw,sensor1_voltage,sensor2_raw,sensor2_voltage,device_timestamp,server_timestamp
1750603232_9090,762,0.614,2518,2.029,1473900,"2025-06-22 14:40:32"
1750603238_5557,761,0.613,2506,2.019,1479127,"2025-06-22 14:40:37"
1750603243_1929,731,0.589,2481,1.999,1484353,"2025-06-22 14:40:43"
1750603248_8861,742,0.598,2469,1.989,1489580,"2025-06-22 14:40:48"
1750603253_5327,764,0.616,2448,1.972,1494806,"2025-06-22 14:40:53"
1750603258_9738,763,0.615,2325,1.873,1500033,"2025-06-22 14:40:58"
1750603264_7078,759,0.611,2499,2.013,1505259,"2025-06-22 14:41:04"
1750603269_4511,736,0.593,2381,1.918,1510489,"2025-06-22 14:41:09"
1750603274_8289,752,0.606,2522,2.032,1515716,"2025-06-22 14:41:14"
1750603279_2235,771,0.621,2520,2.03,1520942,"2025-06-22 14:41:19"
1750603285_9334,764,0.616,2353,1.896,1526169,"2025-06-22 14:41:25"
1750603290_9915,757,0.61,2425,1.954,1531395,"2025-06-22 14:41:30"
1750603295_7654,733,0.591,2437,1.963,1536622,"2025-06-22 14:41:35"
1750603300_8710,748,0.603,2531,2.039,1541848,"2025-06-22 14:41:40"
1750603305_7002,764,0.616,2531,2.039,1547074,"2025-06-22 14:41:45"
1750603311_3590,773,0.623,2594,2.09,1552301,"2025-06-22 14:41:51"
1750603316_9136,767,0.618,2621,2.112,1557527,"2025-06-22 14:41:56"
1750603321_2505,749,0.603,2575,2.075,1562754,"2025-06-22 14:42:01"
1750603326_5842,738,0.595,2597,2.092,1567980,"2025-06-22 14:42:06"
1750603332_8425,753,0.607,2443,1.968,1573207,"2025-06-22 14:42:12"
1750603337_4012,771,0.621,2518,2.029,1578433,"2025-06-22 14:42:17"
1750603342_7889,776,0.625,2541,2.047,1583660,"2025-06-22 14:42:22"
1750603347_7613,774,0.624,2577,2.076,1588886,"2025-06-22 14:42:27"
1750603352_7675,755,0.608,2634,2.122,1594113,"2025-06-22 14:42:32"
1750603358_9962,746,0.601,2628,2.117,1599339,"2025-06-22 14:42:38"
1750603363_2270,761,0.613,2601,2.096,1604566,"2025-06-22 14:42:43"
1750603368_2579,768,0.619,2612,2.104,1609792,"2025-06-22 14:42:48"
1750603373_3621,771,0.621,2626,2.116,1615019,"2025-06-22 14:42:53"
1750603379_6479,771,0.621,2618,2.109,1620245,"2025-06-22 14:42:59"
1750603384_4797,774,0.624,2596,2.092,1625472,"2025-06-22 14:43:04"
1750603389_2142,774,0.624,2567,2.068,1630698,"2025-06-22 14:43:09"
1750603394_2487,772,0.622,2618,2.109,1635924,"2025-06-22 14:43:14"
1750603400_4141,761,0.613,2539,2.046,1641151,"2025-06-22 14:43:20"
1750603405_6612,748,0.603,2612,2.104,1646377,"2025-06-22 14:43:25"
1750603410_8405,746,0.601,2625,2.115,1651604,"2025-06-22 14:43:30"
1750603415_2810,753,0.607,2637,2.125,1656830,"2025-06-22 14:43:35"
1750603420_7582,763,0.615,2586,2.083,1662057,"2025-06-22 14:43:40"
1750603426_4353,775,0.624,2582,2.08,1667283,"2025-06-22 14:43:46"
1750603431_4342,780,0.628,2612,2.104,1672510,"2025-06-22 14:43:51"
1750603436_8382,778,0.627,2604,2.098,1677736,"2025-06-22 14:43:56"
1750603441_2279,769,0.62,2609,2.102,1682963,"2025-06-22 14:44:01"
1750603447_3574,752,0.606,2586,2.083,1688289,"2025-06-22 14:44:07"
1750603452_8738,761,0.613,2582,2.08,1693516,"2025-06-22 14:44:12"
1750603457_6461,778,0.627,2609,2.102,1698742,"2025-06-22 14:44:17"
1750603462_6690,782,0.63,2606,2.1,1703969,"2025-06-22 14:44:22"
1750603468_7875,787,0.634,2608,2.101,1709195,"2025-06-22 14:44:28"
1750603473_6709,773,0.623,2621,2.112,1714422,"2025-06-22 14:44:33"
1750603478_6942,751,0.605,2603,2.097,1719648,"2025-06-22 14:44:38"
